num_officers,pop
13,5098
49,11401
18,10173
34,9393
17,4452
1417,367284
17,5704
1129,548374
55,30928
126,45970
125,48816
479,238948
99,58366
43,13138
38,19758
37,26385
10,2170
4,1669
15,3175
95,42531
91,50881
83,25436
63,20112
4,877
193,96217
11,4434
52,12331
5,459
91,43781
92,46700
27,12162
35,11286
39,10373
331,61429
20,16771
256,98769
59,34192
7,3048
90,14192
14,3219
11,3776
1496,134895
108,78907
31,20083
253,122788
53,12380
281,240887
294,161588
144,91418
75,48945
1023,434036
27,11307
110,84017
129,90297
88,75202
16,1085
94,23370
9,8454
10,4797
4,2624
252,80432
146,95826
18,6618
39,19268
19,26879
113,41326
8,3909
59,10217
7,5903
13,5348
928,166079
149,112641
90,65483
12,12356
200,130615
45,25857
27,25789
42,19439
105,73637
56,35125
227,110988
82,31336
121,70546
7,5407
43,38692
13,17908
85,76387
52,20789
12,6716
344,157051
25,11123
59,22116
1182,166553
160,114170
22,16356
16,8433
12,6904
1077,534285
17,7359
20,15223
20,12123
16,11433
12,9635
22,15384
43,25740
43,25443
48,24983
73,20122
13,7679
245,73018
43,18332
70,26973
5,1363
24,12317
6,3392
272,35659
39,26379
34,40327
5,7387
68,44303
23,18090
5,2275
78,14041
19,3731
1155,324279
26,21811
559,388080
72,53002
14,15529
49,29101
35,20456
24,9413
26,12211
23,14319
2,2648
6,5507
289,31662
32,21353
87,57232
41,26728
18,12991
122,43437
12,4959
37,15400
80,15201
19,14878
15930,953542
118,84837
92,58899
89,50405
93,75862
40,35759
69,42366
217,34211
215,103738
63,36681
78,47985
155,39252
161,112330
160,115830
79,16727
116,59833
335,202601
79,52211
133,87305
62,19460
85,58181
247,109386
33,1469
55,32344
1203,467974
12954,4015546
100,35583
74,36730
97,62650
99,60424
32,13400
343,141913
252,152776
142,67473
44,24621
66,40422
34,13196
394,91621
18,10917
44,11624
114,94445
51,25612
311,145183
55,112
141,106335
167,86158
121,72149
27,18792
92,66250
298,65834
7,2114
16,7569
27,14343
77,56134
8,2470
82,58819
23,7118
17,9135
46,34793
78,17226
202,58343
22,7366
45,16197
13,4937
255,94581
34,29632
13,5594
7,5896
30,14607
62,40607
133,83854
30,6124
8,2471
41,6016
15,8114
430,104171
22,3877
10,1674
15,8408
28,17809
22,14170
65,28337
30,15605
192,156943
11,407
45,34036
21,26015
34,22911
134,24068
13,5341
120,79526
16,6195
152,66289
36,12919
12,3150
38,16611
3723,110893
592,353915
86,44155
131,82627
192,114047
65,49085
27,15571
79,55858
193,140194
239,172832
303,201843
98,23020
101,62416
21,11541
225,85325
216,139830
67,51756
558,333664
53,24120
141,80356
120,91086
325,292673
534,122413
28,14201
29,48625
84,68554
191,141744
66,18514
3750,377758
44,31450
59,50990
28,19889
32,29107
128,86082
108,92803
149,48846
512,333260
209,170875
72,55346
138,116413
1992,582120
102,79927
48,26796
993,513934
238,175492
134,88496
59,21410
40,40399
3342,291579
57,24121
160,93348
80,55059
285,215883
64,39787
388,183322
124,71941
134,103965
368,216715
